Parameter,Description,Expected Values,Units
ES TNo.,"‘Track Number’ of
Emitter Reported by
ES Processor",1 to 500.,None
RFPS Tno.,"‘Track Number’ of
Emitter Reported by
RFPS. All the
Following
Parameters will be
Reported by RFPS.",1 to 255.,None
"Platform
Name","‘Name of Platform’ of
Emitter","Alphanumeric characters
(maximum 20 characters).",None
"Platform
Class","‘Class of Platform’ of
Emitter","Alphanumeric characters
(maximum 20 characters).",None
Radar Name,"‘Name of Radar’ of
Emitter","Alphanumeric characters
(maximum 20 characters).",None
Radar Mode,"‘Radar Mode’ of
Emitter","Alphanumeric characters
(maximum 10 characters).",None
CL,"‘Confidence Level’ of
Emitter","0,1.0 to 10.0",None
Signal Type,"‘Signal Type’ of
Emitter","CW,
FMCW,
QuasiCW,
Pulsed-NonAgile,
Pulsed-FreqAgile,
Pulsed-FreqDiversity,
IFF-Interrogation,
Pulsed-PWAgile,",None
