Ser,Parameter,Specification,
9,"Length X Diameter
(Approx)",301±3mm x 16±2mm,"ø 122±3mm (Loop dia.)
Loop Cross section dia:
ø 13mm ± 2 mm"
10,"Weight (integrated Dipole
and Loop Antenna
element)",≤ 1 Kg,
11,"Overall Weight (5 antenna
elements with bay arm
Assy and split mounting
ring)",≤ 18 Kg,
12,Final Finish,"Antenna to be painted with RAL-7040 Semi Gloss
finish.",
