Ser.,Material,Item Description,"Ord
Qty",UoM
1,172300352712,ES AHU-3,4,NO
2,172300347377,OMNI Rx Module (MB-HB),4,NO
3,172300347474,OMNI MASS Module(MB-HB),4,NO
4,172300356301,TDOA Processor PCB - TYPE 2,4,NO
5,172300752255,FREQ SYNTHESIZER 0.5-2G,4,NO
6,172300752449,FREQ SYNTHESIZER 2-18G,4,NO
7,110005080127,Type-3 BITE UNIT (18-40 GHz),4,NO
8,172300752643,DIFM Receiver 2-18GHZ,4,NO
9,172300356786,Receiver Processor Board,4,NO
10,172300356592,"Synthesizer FOR 0.5-18 GHz QUAD S/H
RxS",4,NO
