Ser,Description,BEL Part No.
3.2.3,SW RF SPDT 6-18G 300W,454277350147
3.2.4,ROTMAN lens beam forming N/W(6-18 GHz),172300243102
3.2.5,Control I/F Module,172300695413
3.2.6,AMP PWR 6-18G 27dBm,456172430126
3.2.7,Switch CO SPST 1-18G 2.5DB,454272870105
3.2.8,SW RF CO17P 6-18G 50dB 27dBm,454277340156
3.2.9,DET 50OHMS 6-18G,455872390114
3.2.10,AMP PWR 6-18G 20dBm,456172430223
3.2.11,MB2-Tx FILTER MODULE,172300785720
3.2.12,Cable Assy RF 50 SMA ST /SMA ST,488072920133
3.2.13,Cable Assy RF 50 Z TNC,488072930318
3.3,MB2-Front End Assy,172300785429
3.3.1,Sectoral Horn Rx Ant (6-18 GHz),172300292184
3.3.2,MBJ-FE,455678780151
3.4,Servo Drive Assembly (1-AXIS),172300452234
4,HB JAMMER,172300354070
4.1,Low Power Unit (HB),172300346795
4.1.1,High Speed ADC/DAC Module,172300358241
4.1.2,RFC& NG Module,172300358629
4.1.3,LP(HB) Filter Module,172300564560
4.1.4,DDUC 1CH 18-40 GHz,476678350115
4.1.5,OSC DR 10 GHz +10dBm,453572730119
4.1.6,Harmonic Detection Module(18-40 GHz),476672990380
4.1.7,Isolator 18-40 GHz 14dB,454172310108
