Tool Button,Description,"Expected Behaviour after
Mouse Click"
,"Switch to ‘Tabular
Display’","‘Tabular Display’ shall be displayed. The tool
button shall be highlighted (default)."
,"Switch to ‘Tactical
Display’","‘Tactical Display’ shall be displayed. The tool
button shall be highlighted."
,"Switch to ‘Situational
Display’","‘Situational Display’ shall be displayed. The
tool button shall be highlighted."
,"Switch to ‘Map
Display’","‘Map Display’ shall be displayed. The tool
button shall be highlighted."
,Apply ‘Sector Zoom’,"‘Zoom Sector’ GUI shall be displayed to user.
If sector zoom is applied, emitters falling only
in the sector shall be displayed."
,"Remove ‘Sector
Zoom’","Sector zoom shall be removed &all emitters
(which were under sector zoom) shall be
displayed again. By default, no sector zoom
shall be applied."
,"Zoom on ‘Known
Emitters’","Show only ‘Known’ emitters in all emitter
presentation windows."
,"Zoom on ‘Unknown
Emitters’","Show only ‘Unknown’ emitters in all emitter
presentation windows."
,"Zoom on ‘Hostile
Emitters’","Show only ‘Hostile’ emitters in all emitter
presentation windows."
,Reset ‘Zoom’,Remove zoom (including sector zoom) on all
