Ser,Subsystem,Default Configuration
,,"(d) Order Criterion : CL
(e) DOA Tolerance : 3σ
(f) PW Tolerance : 3 σ
(g) Frequency Tolerance : 3 σ
(h) Auto Purge Time : 0
(j) Passive Time : 20
(k) Auto BITE Interval :30 min"
6,"EA
Processor","(a) Mode of Operation : Semi Auto
(b) Transmitter Power : 0 dB
(c) ERP : 50 KW (For Both Port and
Start Board side)
(d) Servo Position : 0 Deg
(e) Jamming Time Duration : 0 msec
(f) Frequency : 6000 MHz
(g) DOA : 35 Deg
(h) Elevation : 5 Deg
(j) Amplitude :9 dB
(k) PW :1000 nsec
(l) PRF :1000 Hz
(m)Scan Type : Lock-on
(n) Scan Period :30 msec
(p) Threat Level :5
(q) JPRO Number :DRFM Barrage 100 MHz
Tech. Duration 1000 msec with Noise Technique."
7,"System
Controller
(ESM
Display)","(a) Display Mode : Tabular
(b) Frequency Bands : ALL Selection
(c) Filters : No
(d) Zoom : No
(e) Freeze : Off
(f) Auto BITE : On
(g) True/Relative : True
(h) Raw/Synthetic : Synthetic
(j) Label Blank : Off
(k) Sector Blanking : Off
(l) Audio Alarm : Off
(m)Library Search In : Priority and Temporary Libraries"
