Ser.,Material,Item Description,"Ord
Qty",UoM
54,172300855366,Set OF High Power TNC Cables (B&D),4,Set
55,172300855463,Set of Low Power Cables(B&D),4,Set
56,172300358241,High Speed ADC/DAC Module,4,NO
57,172300358629,RFC & NG Module,4,NO
58,172300753225,LO Synthesizer 6-18G,8,NO
59,172300753322,DTO 6-18G,4,NO
60,172300696480,Set of EA Filter Modules,4,Set
61,172300855851,Set OF SPARES FOR SERVO(B&D),4,Set
62,172300322836,Pyramidal Horn Rx Antenna (18-40GHz),4,NO
63,172300855560,FRONT END Module(HB),4,NO
64,172300754195,DDUC 18-40G,4,NO
65,172300765350,OSCILATOR 10GHz(HB),4,NO
66,172300765447,Harmonic Detection Module (HB),4,NO
67,172300754389,Threshold Detector 18-40G,4,NO
68,172300754292,Power Amplifier 18-40G,4,NO
69,474272210116,RM Blower 155CFM 1.2A 115V 76.2D,4,NO
70,172300754001,Waveguide Coupler 18-40G,4,NO
71,172300384819,MMJ-Tx INTERFACE PCB,4,NO
72,172300765253,Blower Current Sense PCB,4,NO
73,172300292087,Pyramidal Horn Tx Antenna(18-40GHz),4,NO
74,172300526536,HB TWT ASSY,4,NO
75,172300452622,Transmitter Power Supply (HB),4,NO
