LVPS-1,,,,,,,,,,,
"AHU-2
Connec-
-tor","J304
(PS1,PS5)",,"J305
(Ps3,PS7)",,"J306
(PS2,PS6,PS9)",,,"J307
(Ps4&8,Ps10&11)",,,
"Rated
Supply
(A)",+9V,-9V,+9V,-9V,+9V,-9V,+5V,+9V,-9V,+15V,-15V
,25A,4A,30A,4A,25A,4A,20A,20A,4A,20A,8A
