Ser.,Material No.,Item Description (As per Contract),QTY,UOM
65,172300357271,Set of Discrete Spares for ES System,1,No
66,172300358144,Set of Spares for LVPS 1 & 2,1,No
67,172300757590,DDUC 6-18G,1,No
68,172300358920,Set of Spares for Front End Unit(MB2),1,No
69,172300359114,Set f Spares for Front End Unit(HB),1,No
70,172300754195,DDUC 18-40G,1,No
71,172300388020,Set of Spares for Servo,1,No
72,172300359211,Set of Spares for LVPS(MB2),1,No
73,172300359308,Set of Spares for LVPS(HB),1,No
74,172300359502,Set of Spares for HEU,1,No
