Parameter,Status,Description,Status GUI
"Platform
Gyro","‘Roll, Pitch
Data’","The background shadow
will be blinking in
green/yellow colour as
long as data is received
from ESI and updated at
SCD. If there is “No” data
update from ESI. The
background show will be
in red colour and there will
not be any blinking of
shadow.",
,ERROR,"‘Error’ flag is reported for
roll & pitch data from ESI.
Background shadow will
change to ‘Red’ colour.",
,STOPPED,"User stopped ‘Gyro’ data
from SCD application.
Background shadow will
change to ‘Red’ colour.",
,NODATA,"‘No Data’ flag is reported
for roll & pitch data from
ESI. Background shadow
will change to ‘Red’ colour.",
"Platform
Heading","‘Heading
Data’","The background shadow
will be blinking in
green/yellow colour as
long as data is received
from ESI and updated at
SCD. If there is “No” data
update from ESI. The
background show will be
in red colour and there will
not be any blinking of
shadow.",
