Parameter,Description,Expected Values,Units
,of Emitter,,
Platform,"‘Name of Platform’
found in ‘Emitter
Library’ after Library
Match for Emitter","Alphanumeric characters
(maximum 6 characters).",None
Op. Role,"‘Operational Role’
found in ‘Emitter
Library’ after Library
Match for the Emitter","Alphanumeric characters
(maximum 13 characters).",None
TL,"‘Threat Level’ found
in ‘Emitter Library’
after Library Match
for Emitter",0-9.,None
AC,"‘Activity Count’ of
Emitter",0-65535.,None
Age,"‘Track Age’ of
Emitter. Number of
Seconds Elapsed
from last
Active to Passive
Status of Emitter.",20-65535.,ns
Latitude,"‘Latitude of Platform’
when Emitter is
Intercepted","Latitude value in
‘dd mm ss.ss N/S’ format,
where
dd: degree,
mm: minute,
ss: second,
N/S: North/ South.","degree,
minute,
second."
Longitude,"‘Longitude’ of
Platform’ when
Emitter is Intercepted","Longitude value in
‘ddd mm ss.ss E/W’ format,
where
ddd: degree,
mm: minute,
ss: second,","degree,
minute,
second."
