Ser.,Faults,Possible Cause,Corrective action
2,"Link Failure between
EAP and ESMP","24V to switch may not
available to switch.","LVPS-6 may be found
defective. Check the input
power supply to the
ETHSW2."
,,"ETHSW2 might be
issue","Check the LED blinking
status of corresponding Port
in ETHSW2 and its
connections."
3,Power supply failure,"Corresponding power
supply module could be
defective.","Check the power ON LEDs
of individual modules in
LVPS units are glowing. If
any module related LED is
not glowing, corresponding
power supply module has to
be checked."
,,Interlock Issue,"Check the interlock to the
LVPS and HEU functionality"
,,AC input issue,Check the PDP 2
4,"Power supply
(LVPS-4 and 5) is
not getting switched
ON in the EA RACK-
1.",Interlock Issue.,"Check the temperature and
flow Ok status of LCUs is
received at EA RACK-1"
,,LVPS-6 might be issue,"Check the functionality of
the LVPS-6"
EA RACK-2 (SCU and SDA),,,
1,"Issue in Engaging of
2 Axis Servo position
to desired bearing
value with track and
JAM command.","SDA-2Axis Homing
Issue.","Observe the Servo link
status to be in green color in
EA window of SCD.
Check all the servo related
cables should be connected
properly."
,,"Stow lock might be
pressed","Check the Stow lock lever is
in released condition. Else,
do the necessary"
