Ser.,Unit / Sub-units,Part No.
,(a) Receiver Processor,1723 003 476 68
,(i) H/W RIB & QDR VPX Chassis,4805 784 301 82
,(ii) Monitor Signal PCB,4806 779 101 81
,(iii) Quad Digital Receiver,1723 003 569 80
,(b) ESM Processor,1723 003 477 65
,(c) Control Unit(ES RACK-1),1723 003 480 56
6,ES Rack-2,1723 003 530 03
,(a) Multi Channel RF Unit (LB1-SHAKTI),1723 006 834 82
,(b) Receiver Processor (LB1),1723 006 833 85
,(c) LVPS-1,1723 003 478 62
,(d) LVPS-2,1723 003 479 59
,(e) RFPS WBT & Processor,1723 006 542 85
,(f) Power Supply (AHU 1-LB1),1723 007 057 92
7,System Controller and Display Rack,1723 003 531 97
,(a) SCD Processor,1723 003 481 53
,"(b) Display LCD 20"" Flat Panel (DRIP PROOF)",4461 723 601 41
,(c) RFPS SBC,1723 003 578 53
8,Rugged Ethernet Switch –Type-1,1723 003 534 88
9,External System Interface Unit (ESI),1723 003 532 94
10,Fault Diagnostic Rack,1723 003 536 82
11,Rugged Ethernet Switch (TYPE-2),1723 003 535 85
