Ser,Subsystem,Default Configuration
8,RFPS,"(a) RFPS Mode of Operation : Auto RFPS
(b) Normal RFP Timeout :180
(c) Freq. Min : 2200 MHz
(d) Freq. Max : 18000 MHz
(e) PW Min : 50 nsec
(f) PW Max : 25000 nsec
(g) PRI Min : 2 usec
(h) PRI Max : 20000 usec"
,ESI,"(a) Longitude : 72.7 Deg
(b) Latitude :18.3 Deg
(c) Heading :45 Deg"
9,MAP,"(a) Default Zoom Level : 185000
(b) Default Map Mode : Moving Platform
(c) Zoom Scale : 10
(d) Default Map Files : Base_Map_India.tif,
Layer_Bay_of_Bengal_N_India.tif,Layer_Bay_of_Bengal
_S_India.tif
(e) Spokes : Hide
(f) Annotation : Hide All
(g) Tactical Impose : 0
(h) Way Points : Hide All"
