Ser,Description,Specification
8,Connector,K (F)
9,"Size of the Antenna
(Approx.)",Ø50mm X 50.0 mm (Diameter x Height)
10,Weight of the Antenna,400 gms. (Max.) with Mounting Boom
11,Radome,C-Sandwich Radome
