Ser.,Unit / Sub-units,Part No.
1,ES AHU-1,1723 003 525 18
,(a) LB (175-500 MHz) Antenna Array,1723 006 856 16
,(b) ASU (LB1-Shakti),1723 006 769 83
2,ES AHU-2,1723 003 526 15
,(a) Omni Rx Module,1723 003 473 77
,(i) Bi-Conical Omni Antenna Stack,1723 003 561 07
,(ii) Omni Receiver PCB,1723 006 616 57
,(iii) Down Converter 18-40 GHz,4766 782 001 53
,(iv) Front End Module (2.2-18 GHz),4769 775 502 04
,(v) Limiter(18-40 GHz),4544 721 701 85
,(b) Omni Mass Module(MB-HB),1723 003 474 74
,(i) Omni Driver PCB,1723 006 615 60
,(ii) EDLVA 18-40 GHz,4556 787 501 78
,(iii) Mass Logic & Band Control Generator PCB,4766 786 901 97
,(c) BB & NB Rx(LB2-MB),1723 006 463 31
,"(i) Integrated Homodyne Receiver (2.2-18
GHz)",1723 003 562 04
,"(ii) Quad Super Heterodyne Receiver (0.5-18
GHz)",1723 003 564 95
,(iii) Receiver Processor Unit,4766 786 701 18
