LVPS-2,,,,,,
"AHU-2
Connector","J204(PS1,PS3)",,"J206(PS5,PS6,PS7)",,,Remarks
Rated Supply(A),+9V,-9V,+15V,-15V,+5V,
,20A,6A,28A,18A,20A,
