Ser,Parameter,Specification
1,"Input Signal Frequency
Range",0.175 GHz to 40 GHz
2,"Operational Sensitivity
(160 MHz IF with 40 MHz
bandwidth)","0.175-0.5 GHz : -45 ± 5 dBm
0.5-2.2 GHz : -60 ± 5 dBm
2.2-18 GHz : -70 ± 5 dBm (Omni path)
2.2-6 GHz : -75 ± 5 dBm (Narrow Band path)
6-18 GHz : -80 ± 5 dBm (Narrow Band path)
18-40 GHz : -55 ± 5 dBm"
3,Dynamic Range,40 dB
4,"Frequency Measurement
Accuracy",500 KHz RMS
5,Signal Types:,
,Frequency Types,"Pulsed, CW, FMCW, Frequency Agile, (Pulse-
Pulse Agility / Scan- Scan Agility)."
,PRF Types,"Fixed, Jitter (30%), Stagger (128 Levels), Dwell &
Switch (32 Levels), Sliding and Wobulated."
,"Intra pulse Modulation
Types","Phase coded, P3 &Poly Phase
Stepped FM, Linear Chirp (Up/Down)"
,Scan Types,"Circular, Sector & Lock-on."
6,Signal Density,500 Kilo Pulses Per Second
7,Pulse Width Range,50nsec - 1ms
8,Pulse Width Accuracy,20 ns RMS
9,PRI,2 µs to 50 ms
10,PRI Accuracy,10 ns RMS
11,"Emitter Records in RFPS
Identification Library","10,000"
12,Processing Time,"Less than 3 seconds for feature extraction of 128
pulses of 1 µs pulse width of lock on emitter."
13,"Track Designation for
Finger Printing","(a) ESM track designation mode for finger printing
in 0.175-40 GHz."
