Ser.,Faults,Possible Cause,Corrective action
2,"Out let temperature
exceeding the
temperature limit","Might be inlet water to
HEU not available","Check inlet water availability
with a temperature of 10 º C
and flow of 40 lpm"
3,Power on issue,"Might circuit breaker in
PDP2 in off condition","Check the breaker in on
condition and monitor the
230V AC supply in the input
connector"
4,"Out let water flow
low","Might be the DM water
in the HEU tank in low
level","Check the required DM
water level in the HEU"
