Parameter,Status,Description,Status GUI
,ERROR,"‘Error’ flag is reported for
heading data from ESI.
Background shadow will
change to ‘Red’ colour.",
,STOPPED,"User stopped heading
data from SCD
application. Background
shadow will change to
‘Red’ colour.",
,NODATA,"‘No Data’ flag is reported
for heading data from ESI.
Background shadow will
change to ‘Red’ colour.",
Map Status,IN RANGE,"If a map is loaded into
SCD application and if the
reported latitude &
longitude of the Platform is
falling within map range.",
,"OUT OF
RANGE","If a map is loaded into
SCD application but the
reported latitude &
longitude of the Platform is
NOT falling within map
range.",
,"NOT
AVAILABLE","If NO map is loaded into
SCD application.",
SCD Up Time,"‘Elapsed
Time
(hh:mm:ss)’","When SCD application is
started in ‘Online/ Replay/
Simulation’ mode.",
"Database
Status",ACTIVE,"If SCD application
database is active and
running.",
,"NOT
ACTIVE","If SCD application
database is NOT active or",
