Tool Button,Description,"Expected Behaviour after
Mouse Click"
,,"emitter presentation windows and display all
emitters. By default, no zoom shall be applied."
,"Switch to ‘True’
/‘Relative’ Mode","Switch all ‘Emitter Presentation Windows’ to
‘True Mode’ otherwise switch all ‘Emitter
Presentation Windows’ to ‘Relative Mode’. By
default True mode"
,"Capture Full Screen
Image","Screen shot image of complete SCD Main
Window screen shall be captured and stored in
a file on SCD storage with auto generated file
name."
,"Capture Active
Window Image","Screen shot image of currently opened GUI on
SCD Main Window shall be captured and
stored in a file on SCD storage with auto
generated file name."
,Apply ‘Display Filters’,"Apply user selected filters on ‘Emitter
Presentation Windows’."
,"Remove ‘Display
Filters’","Remove all the displays filters applied by user.
By default, no display filters shall be applied."
,"Enable ‘Auto Purge’/
Disable ‘Auto Purge’","‘Enable/ Disable Auto Purge’ GUI shall be
displayed to user. If user select ‘Auto Purge
ON’, it is enable & applied at ES Processor. If
user select ‘Auto Purge’ OFF’, passive tracks
shall be disabled at ES Processor. By default,
this shall be the state."
,"NB Rx1 (0.175-
2.2GHz) Directed
Mode/ Directed
Search Mode","‘NB Rx1 (0.175-2.2GHz) Directed Mode/
Directed Search Mode’ GUI shall be displayed
to user put the receiver in ‘Directed Mode/
Directed Search Mode’ when user is logged
with ‘Administrator’/ ‘Commander or Operator’
access rights."
,NB Rx2 (2.2-18GHz),‘NB Rx2 (2.2-18GHz) Directed Mode/ Directed
