Ser.,Material No.,Item Description (As per Contract),QTY,UOM
42,172300702203,PPD Board (LB1),1,No
43,110005080127,Type-3 BITE Unit (18-40 GHz),1,NO
44,172300356786,Receiver Processor Board,1,No
45,172300702397,Rx & AMP Processor Board,1,No
46,172300353488,Rugged Ethernet Switch (TYPE-1),1,No
47,172300357950,Receiver Processor Unit,1,No
48,172300696480,Set of EA Filter Modules,1,No
49,172300384819,MMJ-Tx Interface PCB,1,No
50,172300176560,"High Power Linear Array ANT. with
RADOME",1,No
51,172300354264,Transmitter Power Supply (MB2),1,NO
52,172300364158,Control Panel I/F PCB,1,No
53,172300452622,Transmitter Power Supply (HB),1,NO
54,172300452719,Transmitter HVPS (HB),1,NO
55,172300532928,Low Voltage Power Supply (EACP),1,No
56,172300356107,Bi-Conical Omni Antenna Stack,1,No
57,172300752061,EDLVA 18-40GHz,1,No
58,172300752352,Down Converter 18-40 GHz,1,No
59,172300357174,Keyboard,1,No
60,172300358047,External System Interface (ESI) Unit,1,No
61,172300701330,ASU (LB1-SHAKTI),1,No
62,172300752643,DIFM Receiver 2-18GHZ,1,No
63,172300752740,Wide Band Tuner 2-18GHz,1,No
64,172300701427,70 MHz IF Module (LB1),1,No
