Shortcut Operation/ Description,
F1,Show Online Mode Help Document of SCD Application.
F2,Purge Passive Tracks at ES Processor.
F3,Rebuild ALL Tracks at ES Processor.
F4,Reset ALL Receivers.
F5,Reset ES Processor.
F6,Show Auto BITE Status.
F7,Reset EA Processor.
F8,Perform Radar Finger Print.
F9,Take a Screen Shot of a GUI.
F10,Freeze & Hold Emitter Report Window
F11,Add Track to Temporary Emitter Library.
F12,Show Alarming Tracks.
Ctrl + A,Auto Purge ON/ OFF at ES Processor.
Ctrl + B,Auto Merge Agile Tracks at ES Processor.
Ctrl + C,Auto Merge Mid-Band (2.2-18GHz) Tracks at ES Processor.
Ctrl + D,DOA Trace.
Ctrl + E,Add Track to ELINT Returns
Ctrl + F,Enable/ Disable Display Filters.
Ctrl + G,System Recording ON/ OFF.
Ctrl + H,Hide HookUp Emitters Window.
Ctrl + I,Set Lockout Sectors at ES Processor.
