Parameter,Status,Description,Status GUI
"Auto Merge
Agile Tracks",ON,"If auto merging of agile
tracks is enforced at ES
Processor.",
,OFF,"If auto merging of agile
tracks is disabled at ES
Processor.",
"Link Status
(Consolidate
d Link Status
of Interfaces
(Shakti Sub-
systems) with
SCD
Computer)",UP,"If all the links are
established & up.",
,DOWN,"If ‘All’ the links are
disconnected/ down. The
background color of the
status button will be ‘Red’.",
,DOWN,"If only ‘Some’ the links are
disconnected/ down. The
background colour of the
status button will be
‘Yellow’.",
"System
Recording",ON,"If ‘System Recording’ is
enabled & started in SCD
application.",
,OFF,"If ‘System Recording’ is
disabled or stopped in
SCD application.
Background colour of the
indicator will be flashing in
‘Red’.",
"Receiver
Pulse Count",‘Pulse Count’,"Receiver pulse count
received from ES
Processor.",
"Receiver
Mode","DIR/ DS/
SCN/ MSN/
RFPS/ BB/
SFB/ BLK","Receiver mode in which a
receiver currently
operating:
DIR: Directed Mode.
DS: Directed Search",
