Tool Button,Description,"Expected Behaviour after
Mouse Click"
,"Show/ Hide ‘Replay
Controls’ GUI","This shall be a toggling button. When toggled,
‘Replay Controls’ GUI shall be visible/ hidden.
This button & the GUI shall be visible,
whenever SCD Main Window is activated in
‘Replay Mode’."
,"Show/ Hide
‘Simulation Controls’
GUI","This shall be a toggling button. When toggled,
‘Simulation Controls’ GUI shall be visible/
hidden. This button & the GUI shall be visible,
whenever SCD Main Window is activated in
‘Simulation Mode’."
