Ser.,Faults,Possible Cause,Corrective action
,,may be faulty,"check Antenna Switching
Unit RF outputs. If not OK
Replace ASU"
,,Multi Channel RF Unit,"Check IF output of MCRFU.
If not OK replace MCRFU"
,,"Receiver processor
(LB1) LRU","Check IF input cables are
intact"
2.2-18GHz Broadband Chain,,,
1,"No Track on Display,
No PD Count
Available",FO LINK may be faulty,"May be failure in FO Link.
Check LED D5 on PPD-2 . If
LED is not glowing fix FO
cable properly."
2,"Manual BITE is not
OK","DTO in AHU-4 may be
faulty.","Check whether 2-18 GHz
DTO in AHU-4 is OK or NOT
OK."
3,"NO DF data or
wrong DF Data","Homodyne Rx may be
faulty","Phase calibration to be done
for the corresponding
Quadrant Homodyne Rx.
Refer to TM Part-II, Ch3 for
the procedure."
4,Frequency errors,"Homodyne Receiver
may be faulty.","Frequency calibration to be
done for the corresponding
Quadrant Homodyne Rx.
Refer to TM Part-II , Ch3 for
the procedure."
5,Power supply failure,"Any module in LVPS-1
may be faulty.","Observe the LEDS PS1 to
PS4 and PS11 on the LVPS-
1. If any LED is not glowing
the corresponding output
voltage is NOT OK. Replace
the power supply module."
0.5-18GHz Narrow band Chain,,,
