Parameter,Description,Expected Values,Units
,,"Pulsed-PWAgile-FreqAgile,
NoiseRadar.",
Avg.Freq.,"‘Average Frequency’
of Emitter",175-40000.,MHz
Avg.PW,"‘Average Pulse
Width’ of Emitter",2.00-10000.00.,us
Avg.PRF,"‘Average Pulse
Repetition
Frequency’ of Emitter","0, 50-500000.",Hz
PRF Type,‘PRF Type’ of Emitter,"DSW: Dwell & Switched,
STA: Staggered,
JIT: Jittered,
FIX: Fixed,
SLI: Sliding,
WOB:Wobulated,
PGRI: Pulse Group
Repetition Interval,
PseudoRandom,
STA-DSW: Staggered and
Dwell & Switched,
JIT-DSW: Jittered and Dwell
& Switched,
JIT-STA: Jittered and
Staggered,
MultiplePRI: Multiple Pulse
Repetition Interval,
UN: Unknown.",None
ST,"‘Scan Type’ of
Emitter","CIR: Circular,
SEC: Sectorial,
LOC: Lock-On,
CON: Conical,
TWS: Track While Scan,
HEL: Helical,
Complex,
Raster,",None
