Ser,Requirements,Specification
,,"the RFPS emitter database on line and
offline.
RFPS data base shall be capable of
uploading / down loading data on LAN /
external hardware"
17,Polarisation,"Slant, Vertical, Horizontal, LH Circular, RH
Circular Polarisation."
18,Additional Features,"FMOP (Frequency Modulation on Pulse)
detection"
,,"Audio and visual warning required for
Locked- on, FCR, Missile Illuminators,
Active Missile seekers"
,,"Alarm for threat Warner library match.
Operator has to configure this option."
,,Recording capability
,,"Post Mission Data Analysis & Mission
Planning facility"
,,"Programmable blanking of ES sub systems
and programmable blanking of transmission
of EA sub system to cater for simultaneous
operation of EA and other FCRs and radio
emitters on board."
,,Indication of pulse density & Blanking rate
,,In built training simulator
19,Additional Issues,"Capability to handle modern radars with
adequate RAF"
,,"Should provide RAF against LPI based
Navigational radars with range of 25 Nm (Tx
power of the order of 1 Watt)"
20,"Pulse Width Range
0.175 – 2.2 GHz
2.2 – 18 GHz
18 - 40 GHz
Accuracy","200ns – 1ms
50ns– 1ms& CW
50ns – 1ms"
