Ser,Description,BEL Part No.
4.1.8,FREQ SYNTHSR 6-18 GHZ 100KHZ,456072040267
4.1.9,MW OSC VC DGTL TUNED 6-18G+10DBM,453572650288
4.1.10,DET 50OHMS 18-40G,455872400105
4.2,Front End Unit (HB),172300346601
4.2.1,Pyramidal Horn Rx Antenna (18-40 GHz),172300322836
4.2.2,MMJ-FE,455678790142
4.3,Transmitter Unit (HB),172300346892
4.3.1,Pyramidal Horn Tx Antenna(18-40 GHz),172300292087
4.3.2,MMJ-Tx INTERFACE PCB,172300384819
4.3.3,TRANSMITTER HVPS (HB),172300452719
4.3.4,MWT TWT 18-40G 40W,418972130264
4.3.5,AMP LN 18-40G 20dB 5DB,453777020170
4.3.6,DET 50 OHMS 18-40G,455872400105
4.4,Transmitter Power Supply (HB),172300452622
4.5,Servo Drive Assembly (2-AXIS),172300452331
5,Transmitter Power Supply (MB2),172300354264
6,Heat Exchanger Unit,172300354167
