Ser.,Material No.,Item Description (As per Contract),QTY,UOM
20,172300753613,Power Amplifier-1 6-18G,1,NO
21,172300753807,SPST Switch,1,NO
22,172300753904,SP16T Switch,1,NO
23,172300754583,Set Of Low Power Cables(OB),1,NO
24,172300754001,Waveguide Coupler 18-40G,1,NO
25,172300754389,Threshold Detector 18-40G,1,NO
26,172300356204,2.2-18 GHZ Integrated Homodyne RX,1,NO
27,113060006663,BMPM C-Ku 100 W,2,NO
28,172300757202,Set of High Power SPDT SWITCHES(OB),1,NO
29,172300753710,Power Amplifier-2 6-18G,1,NO
30,172300356495,0.5-18 GHZ QUAD S/H RX with BDU,1,NO
31,172300243102,"ROTMAN lens beam forming N/W(6-
18GHz)",1,NO
32,172300356980,Quad Digital RX,1,NO
33,172300176560,High Power Linear Array Ant. with Radome,1,NO
34,172300758851,Set Of High Power TNC Cables (OB),1,NO
35,172300358823,EA Processor Module,1,NO
36,172300695413,Control I/F Module,1,NO
37,172300292184,Sectoral Horn Rx Ant (6-18 GHz),1,NO
38,172300754292,Power Amplifier 18-40G,1,NO
39,172300350869,Storage Rack for OB Spares,1,NO
40,172300701718,"Penta Channel DF Processor Board (10
BIT)",1,No
41,172300356592,"Synthesizer for 0.5-18 GHZ QUAD S/H
RXS",1,No
