Ser,BEL Part No.,Sub System Description,Qty
16.4,172300452719,Transmitter-HVPS (HB),1
16.5,172300452622,Transmitter Power Supply(HB),1
16.6,172300452331,Servo Drive Assembly (2-AXIS),1
17,172300354264,Transmitter-Power Supply (MB2),4
18,172300354167,Heat Exchanger Unit,2
